Label,Red,Green,Blue,Hex
0,0.5711229946524065,0.5689839572192513,0.7055258467023173,#010101
1,0.49142156862745096,0.1637254901960784,0.1183823529411765,#000000
2,0.9744164332399625,0.5751633986928104,0.02259570494864621,#010100
3,0.2801120448179271,0.8011204481792717,0.757422969187675,#000101
4,0.6649616368286445,0.9156010230179028,0.8482523444160273,#010101
5,0.9190918472652219,0.5473684210526315,0.4546955624355005,#010100
6,0.23843137254901964,0.26091503267973853,0.2258823529411765,#000000
7,0.9759477124183007,0.04052287581699349,0.13542483660130716,#010000
8,0.01673202614379088,0.4580392156862745,0.36287581699346405,#000000
9,0.5,0.01568627450980392,0.9967320261437909,#000001
10,0.04052287581699343,0.23921568627450981,0.6668845315904139,#000001
11,0.6675716440422322,0.24886877828054293,0.4138763197586727,#010000
12,0.9775086505190311,0.8274509803921569,0.7163783160322953,#010101
13,0.475222816399287,0.19358288770053478,0.41639928698752227,#000000
14,0.2478991596638655,0.5092436974789916,0.38795518207282914,#000100
15,0.018300653594771177,0.8026143790849674,0.25098039215686274,#000100
16,0.9654188948306596,0.9005347593582889,0.20998217468805702,#010100
17,0.5113725490196078,0.9694117647058823,0.0015686274509803533,#010100
18,0.8363636363636363,0.12156862745098035,0.44420677361853833,#010000
19,0.9551633986928105,0.9636601307189543,0.9606535947712418,#010101
20,0.00906862745098036,0.22401960784313724,0.2252450980392157,#000000
21,0.005228758169934622,0.9849673202614377,0.9679738562091502,#000101
22,0.7333333333333334,0.6440087145969499,0.5559912854030501,#010101
23,0.47165775401069515,0.47165775401069515,0.47094474153297683,#000000
24,0.36307189542483664,0.6385620915032679,0.9143790849673202,#000101
25,0.6125490196078431,0.9207843137254903,0.2537254901960784,#010100
26,0.9992156862745099,0.33568627450980393,0.7929411764705883,#010001
27,0.9431372549019608,0.6715686274509804,0.9111111111111111,#010101
28,0.9704575163398692,0.47477124183006536,0.338562091503268,#010000
29,0.5529411764705883,0.01736694677871148,0.4560224089635854,#010000
30,0.6972549019607843,0.06274509803921569,0.07372549019607844,#010000
31,0.2565359477124184,0.7418300653594772,0.5336601307189542,#000101
32,0.9533769063180828,0.9446623093681916,0.54640522875817,#010101
33,0.032579185520361986,0.4874811463046757,0.751131221719457,#000001
34,0.4220846233230134,0.56656346749226,0.7475748194014448,#000101
35,0.7459383753501401,0.5943977591036415,0.411484593837535,#010100
36,0.3372549019607843,0.0524509803921569,0.09166666666666667,#000000
37,0.4759803921568627,0.27107843137254906,0.24436274509803918,#000000
38,0.13006535947712417,0.23660130718954248,0.24575163398692812,#000000
39,0.5623093681917212,0.3843137254901961,0.4418300653594771,#010000
40,0.7911111111111111,0.5649673202614379,0.1843137254901961,#010100
41,0.9834087481146305,0.31644042232277525,0.014781297134238258,#010000
42,0.035686274509803884,0.4647058823529412,0.008235294117647007,#000000
43,0.8082788671023965,0.9864923747276688,0.014379084967320321,#010100
44,0.9872549019607844,0.06078431372549015,0.6470588235294117,#010001
45,0.903921568627451,0.43333333333333335,0.15882352941176475,#010000
46,0.5416122004357299,0.8193899782135076,0.9080610021786492,#010101
47,0.3690888119953864,0.30680507497116494,0.13886966551326413,#000000
48,0.8372549019607842,0.44789915966386556,0.6759103641456582,#010001
49,0.6952069716775598,0.6816993464052288,0.6882352941176471,#010101
50,0.010049019607843102,0.12303921568627452,0.5041666666666667,#000001
51,0.3504901960784314,0.35392156862745094,0.5897058823529412,#000001
52,0.34204793028322444,0.39215686274509803,0.8684095860566448,#000001
53,0.09131652661064427,0.48403361344537815,0.9854341736694677,#000001
54,0.5998217468805704,0.4556149732620321,0.32602495543672017,#010000
55,0.978068264342774,0.9132897603485838,0.8421205519244734,#010101
56,0.9741176470588235,0.2768627450980392,0.5909803921568627,#010001
57,0.9688057040998217,0.24224598930481278,0.29964349376114074,#010000
58,0.27358708189158015,0.2322952710495963,0.590311418685121,#000001
59,0.16666666666666669,0.10352941176470581,0.0850980392156862,#000000
60,0.7962848297213623,0.637358101135191,0.8342621259029928,#010101
61,0.538562091503268,0.44601307189542483,0.0549019607843137,#010000
62,0.31428571428571433,0.3400560224089636,0.35238095238095235,#000000
63,0.0,0.9934640522875817,0.5333333333333333,#000101
64,0.16358543417366955,0.17815126050420166,0.17759103641456586,#000000
65,0.5178777393310265,0.5243367935409458,0.5243367935409458,#010101
66,0.5159041394335512,0.7677559912854031,0.44357298474945533,#010100
67,0.12679738562091503,1.0,0.013071895424836555,#000100
68,0.9839460784313725,0.861642156862745,0.009068627450980415,#010100
69,0.23809523809523808,0.6935574229691877,0.14285714285714285,#000100
70,0.12026143790849675,0.06470588235294111,0.9052287581699346,#000001
71,0.9682352941176471,0.48196078431372547,0.9505882352941177,#010001
72,0.9484004127966976,0.5777089783281734,0.6823529411764706,#010101
73,0.03529411764705892,0.035294117647058865,0.035294117647058865,#000000
74,0.0035650623885917776,0.48128342245989303,0.6270944741532977,#000001
75,0.3888386123680241,0.2561085972850678,0.3043740573152338,#000000
76,0.5568627450980392,0.009227220299884598,0.03898500576701269,#010000
77,0.8232987312572088,0.014994232987312617,0.21430219146482127,#010000
78,0.8830065359477124,5.551115123125783e-17,1.0,#010001
79,0.6473389355742297,0.37282913165266107,0.807843137254902,#010001
80,0.9484593837535014,0.3815126050420168,0.5288515406162465,#010001
81,0.008403361344537896,0.7372549019607844,0.9753501400560224,#000101
82,0.36745098039215685,0.5380392156862746,0.5254901960784314,#000101
83,0.7415686274509804,0.34705882352941175,0.03254901960784318,#010000
84,0.8085901027077498,0.8184873949579832,0.8591970121381887,#010101
85,0.9610294117647059,0.8977941176470587,0.3718137254901961,#010100
86,0.8313725490196078,0.17578857630008526,0.20954816709292412,#010000
87,0.7924183006535948,0.23607843137254902,0.5249673202614379,#010001
88,0.7826330532212885,0.34145658263305323,0.33753501400560226,#010000
89,0.21764705882352942,0.03986928104575166,0.4764705882352941,#000000
90,0.6215686274509804,0.00457516339869285,0.7712418300653594,#010001
91,0.9568627450980391,0.6713725490196079,0.2952941176470588,#010100
92,0.6414565826330533,0.7366946778711485,0.04145658263305324,#010100
93,0.06666666666666676,0.7232492997198879,0.8134453781512605,#000101
94,0.9598039215686274,0.005392156862745134,0.44166666666666665,#010000
95,0.045751633986928164,0.7202614379084967,0.6189542483660131,#000101
96,0.0017825311942958333,0.6270944741532977,0.3693404634581105,#000100
97,0.9369747899159664,0.7893557422969188,0.5095238095238095,#010101
98,0.6491349480968858,0.17231833910034605,0.1970011534025375,#010000
99,0.6529411764705882,0.14379084967320266,0.8764705882352941,#010001
