,Hex,Red,Green,Blue,Hue,Saturation,Value,Label
0,#0048BA,0.0,0.2823529411764706,0.7294117647058823,0.10068224497635359,1.0,0.7294117647058823,80
1,#B0BF1A,0.6901960784313725,0.7490196078431373,0.10196078431372549,0.7113091308703497,0.8638743455497384,0.7490196078431373,66
2,#7CB9E8,0.48627450980392156,0.7254901960784313,0.9098039215686274,0.05060297685041654,0.46551724137931033,0.9098039215686275,3
3,#C9FFE5,0.788235294117647,1.0,0.8980392156862745,0.06269014643030213,0.21176470588235297,1.0,34
4,#B284BE,0.6980392156862745,0.5176470588235293,0.7450980392156863,0.6545084971874736,0.3052631578947368,0.7450980392156863,56
5,#5D8AA8,0.36470588235294116,0.5411764705882353,0.6588235294117647,0.04322727117869957,0.44642857142857145,0.6588235294117647,86
6,#00308F,0.0,0.18823529411764706,0.5607843137254902,0.116977778440511,1.0,0.5607843137254902,0
7,#72A0C1,0.44705882352941173,0.6274509803921569,0.7568627450980392,0.046846106481674976,0.4093264248704663,0.7568627450980392,17
8,#AF002A,0.6862745098039216,0.0,0.16470588235294117,0.9851478631379982,1.0,0.6862745098039216,2
9,#F2F0E6,0.9490196078431372,0.9411764705882353,0.9019607843137255,0.9851478631379982,0.04958677685950408,0.9490196078431372,45
10,#F0F8FF,0.9411764705882353,0.9725490196078431,1.0,0.05852620357053656,0.05882352941176472,1.0,34
11,#84DE02,0.5176470588235293,0.8705882352941177,0.00784313725490196,0.5435778713738291,0.990990990990991,0.8705882352941177,66
12,#E32636,0.8901960784313725,0.14901960784313725,0.21176470588235294,0.9980973490458728,0.8325991189427312,0.8901960784313725,32
13,#C46210,0.7686274509803921,0.38431372549019605,0.06274509803921569,0.9455032620941839,0.9183673469387756,0.7686274509803923,28
14,#EFDECD,0.9372549019607843,0.8705882352941177,0.803921568627451,0.9330127018922194,0.14225941422594138,0.9372549019607843,7
15,#E52B50,0.8980392156862745,0.16862745098039217,0.3137254901960784,0.9890738003669028,0.8122270742358079,0.8980392156862746,10
16,#9F2B68,0.6235294117647059,0.16862745098039217,0.40784313725490196,0.9240240480782129,0.7295597484276729,0.6235294117647059,78
17,#F19CBB,0.9450980392156862,0.611764705882353,0.7333333333333333,0.9635919272833937,0.35269709543568456,0.9450980392156862,52
18,#AB274F,0.6705882352941176,0.15294117647058825,0.30980392156862746,0.9755282581475768,0.7719298245614035,0.6705882352941176,78
19,#D3212D,0.8274509803921568,0.12941176470588234,0.1764705882352941,0.9987820251299121,0.8436018957345972,0.8274509803921568,88
20,#3B7A57,0.23137254901960785,0.4784313725490196,0.3411764705882353,0.08066471602728803,0.5163934426229508,0.47843137254901963,33
21,#00C4B0,0.0,0.7686274509803921,0.6901960784313725,0.9987820251299121,1.0,0.7686274509803923,67
22,#FFBF00,1.0,0.7490196078431373,0.0,0.8535533905932737,1.0,1.0,11
23,#FF7E00,1.0,0.49411764705882355,0.0,0.9330127018922194,1.0,1.0,41
24,#FF033E,1.0,0.011764705882352941,0.24313725490196078,0.9851478631379982,0.9882352941176471,1.0,32
25,#9966CC,0.6,0.4,0.8,0.4999999999999999,0.5,0.8,31
26,#A4C639,0.6431372549019607,0.7764705882352941,0.22352941176470587,0.6378186779084996,0.7121212121212122,0.7764705882352942,30
27,#F2F3F4,0.9490196078431372,0.9529411764705882,0.9568627450980391,0.0669872981077807,0.008196721311475497,0.9568627450980393,34
28,#CD9575,0.803921568627451,0.5843137254901961,0.4588235294117647,0.9635919272833937,0.4292682926829269,0.803921568627451,29
29,#665D1E,0.4,0.36470588235294116,0.11764705882352941,0.8009075115760242,0.7058823529411764,0.4,63
30,#915C83,0.5686274509803921,0.3607843137254902,0.5137254901960784,0.8596699001693254,0.36551724137931035,0.5686274509803921,5
31,#841B2D,0.5176470588235293,0.10588235294117647,0.1764705882352941,0.9924038765061041,0.7954545454545455,0.5176470588235295,58
32,#FAEBD7,0.9803921568627451,0.9215686274509803,0.8431372549019608,0.9145187862775208,0.13999999999999996,0.9803921568627451,45
33,#008000,0.0,0.5019607843137255,0.0,0.2500000000000001,1.0,0.5019607843137255,36
34,#8DB600,0.5529411764705883,0.7137254901960784,0.0,0.6378186779084996,1.0,0.7137254901960784,66
35,#FBCEB1,0.984313725490196,0.807843137254902,0.6941176470588235,0.9567727288213004,0.29482071713147406,0.984313725490196,7
36,#00FFFF,0.0,1.0,1.0,0.0,1.0,1.0,25
37,#7FFFD4,0.4980392156862745,1.0,0.8313725490196078,0.03015368960704584,0.5019607843137255,1.0,91
38,#D0FF14,0.8156862745098039,1.0,0.0784313725490196,0.6545084971874737,0.9215686274509804,1.0,59
39,#4B5320,0.29411764705882354,0.3254901960784314,0.12549019607843137,0.6791839747726502,0.6144578313253012,0.3254901960784314,22
40,#3B444B,0.23137254901960785,0.26666666666666666,0.29411764705882354,0.05060297685041654,0.21333333333333332,0.29411764705882354,9
41,#8F9779,0.5607843137254902,0.592156862745098,0.4745098039215686,0.6209609477998338,0.19867549668874177,0.592156862745098,95
42,#E9D66B,0.9137254901960784,0.8392156862745098,0.4196078431372549,0.8146601955249188,0.5407725321888411,0.9137254901960785,47
43,#B2BEB5,0.6980392156862745,0.7450980392156863,0.7098039215686275,0.14644660940672627,0.06315789473684218,0.7450980392156863,94
44,#87A96B,0.5294117647058824,0.6627450980392157,0.4196078431372549,0.4738320218785281,0.36686390532544383,0.6627450980392157,16
45,#FF9966,1.0,0.6,0.4,0.9698463103929542,0.6,1.0,92
46,#A52A2A,0.6470588235294118,0.16470588235294117,0.16470588235294117,1.0,0.7454545454545455,0.6470588235294118,2
47,#FDEE00,0.9921568627450981,0.9333333333333333,0.0,0.7795964517353734,1.0,0.9921568627450981,48
48,#6E7F80,0.43137254901960786,0.4980392156862745,0.5019607843137255,0.0006852326227130834,0.14062499999999994,0.5019607843137255,33
49,#568203,0.33725490196078434,0.5098039215686274,0.011764705882352941,0.5782172325201155,0.976923076923077,0.5098039215686274,22
50,#FF2052,1.0,0.12549019607843137,0.32156862745098036,0.5782172325201155,0.8745098039215686,1.0,10
51,#C39953,0.7647058823529411,0.6,0.3254901960784314,0.8940053768033609,0.5743589743589743,0.7647058823529411,29
52,#007FFF,0.0,0.4980392156862745,1.0,0.0669872981077807,1.0,1.0,46
53,#F0FFFF,0.9411764705882353,1.0,1.0,0.0,0.05882352941176472,1.0,34
54,#F0FFFF,0.9411764705882353,1.0,1.0,0.0,0.05882352941176472,1.0,34
55,#DBE9F4,0.8588235294117647,0.9137254901960784,0.9568627450980391,0.05060297685041654,0.10245901639344272,0.9568627450980393,34
56,#89CFF0,0.5372549019607843,0.8117647058823529,0.9411764705882353,0.027240712200341632,0.4291666666666667,0.9411764705882353,3
57,#A1CAF1,0.6313725490196078,0.792156862745098,0.9450980392156862,0.06269014643030207,0.33195020746887965,0.9450980392156862,3
58,#F4C2C2,0.9568627450980391,0.7607843137254902,0.7607843137254902,1.0,0.20491803278688533,0.9568627450980393,84
59,#FEFEFA,0.996078431372549,0.996078431372549,0.9803921568627451,0.75,0.015748031496063047,0.996078431372549,49
60,#FF91AF,1.0,0.5686274509803921,0.6862745098039216,0.9806308479691594,0.43137254901960786,1.0,52
61,#21ABCD,0.12941176470588234,0.6705882352941176,0.803921568627451,0.010926199633097211,0.8390243902439025,0.803921568627451,54
62,#FAE7B5,0.9803921568627451,0.9058823529411765,0.7098039215686275,0.8656768508095852,0.2759999999999999,0.9803921568627451,7
63,#FFE135,1.0,0.8823529411764706,0.20784313725490194,0.8146601955249188,0.7921568627450981,1.0,23
64,#006A4E,0.0,0.4156862745098039,0.3058823529411765,0.019369152030840553,1.0,0.41568627450980394,76
65,#E0218A,0.8784313725490196,0.12941176470588234,0.5411764705882353,0.919335283972712,0.8526785714285714,0.8784313725490196,64
66,#7C0A02,0.48627450980392156,0.0392156862745098,0.00784313725490196,0.9987820251299121,0.9838709677419354,0.48627450980392156,58
67,#1DACD6,0.11372549019607843,0.6745098039215687,0.8392156862745098,0.014852136862001764,0.8644859813084113,0.8392156862745098,54
68,#848482,0.5176470588235293,0.5176470588235293,0.5098039215686274,0.75,0.015151515151515312,0.5176470588235295,5
69,#98777B,0.596078431372549,0.4666666666666667,0.4823529411764706,0.996273075820661,0.21710526315789472,0.596078431372549,38
70,#BCD4E6,0.7372549019607844,0.8313725490196078,0.9019607843137255,0.05060297685041654,0.18260869565217389,0.9019607843137256,75
71,#9F8170,0.6235294117647059,0.5058823529411764,0.4392156862745098,0.9635919272833937,0.29559748427672955,0.6235294117647059,38
72,#FA6E79,0.9803921568627451,0.43137254901960786,0.4745098039215686,0.9980973490458728,0.5599999999999999,0.9803921568627451,26
73,#F5F5DC,0.9607843137254902,0.9607843137254902,0.8627450980392157,0.75,0.1020408163265306,0.9607843137254902,49
74,#2E5894,0.1803921568627451,0.34509803921568627,0.580392156862745,0.0904239778555041,0.6891891891891893,0.5803921568627451,0
75,#9C2542,0.611764705882353,0.14509803921568626,0.2588235294117647,0.9829629131445341,0.7628205128205128,0.611764705882353,78
76,#E88E5A,0.9098039215686274,0.5568627450980392,0.3529411764705882,0.9635919272833937,0.6120689655172414,0.9098039215686275,92
77,#FFE4C4,1.0,0.8941176470588235,0.7686274509803921,0.919335283972712,0.2313725490196078,1.0,7
78,#3D2B1F,0.2392156862745098,0.16862745098039217,0.12156862745098039,0.9567727288213004,0.4918032786885247,0.23921568627450981,71
79,#967117,0.5882352941176471,0.44313725490196076,0.09019607843137255,0.8656768508095852,0.8466666666666667,0.5882352941176471,63
80,#CAE00D,0.792156862745098,0.8784313725490196,0.050980392156862744,0.7033683215379001,0.9419642857142857,0.8784313725490196,59
81,#BFFF00,0.7490196078431373,1.0,0.0,0.6294095225512604,1.0,1.0,59
82,#FE6F5E,0.996078431372549,0.43529411764705883,0.3686274509803922,0.9972609476841366,0.6299212598425197,0.996078431372549,19
83,#BF4F51,0.7490196078431373,0.30980392156862746,0.3176470588235294,0.9999238475781956,0.5863874345549738,0.7490196078431373,39
84,#000000,0.0,0.0,0.0,1.0,0.0,0.0,21
85,#3D0C02,0.2392156862745098,0.047058823529411764,0.00784313725490196,0.9924038765061041,0.9672131147540983,0.23921568627450981,21
86,#54626F,0.32941176470588235,0.38431372549019605,0.43529411764705883,0.06269014643030207,0.24324324324324326,0.43529411764705883,33
87,#253529,0.14509803921568626,0.20784313725490194,0.16078431372549018,0.14644660940672627,0.3018867924528302,0.20784313725490197,9
88,#3B3C36,0.23137254901960785,0.23529411764705882,0.21176470588235294,0.6710100716628344,0.1,0.23529411764705882,71
89,#BFAFB2,0.7490196078431373,0.6862745098039216,0.6980392156862745,0.990813591723832,0.08376963350785341,0.7490196078431373,61
90,#FFEBCD,1.0,0.9215686274509803,0.803921568627451,0.9045084971874737,0.196078431372549,1.0,7
91,#A57164,0.6470588235294118,0.44313725490196076,0.39215686274509803,0.9890738003669028,0.393939393939394,0.6470588235294118,74
92,#318CE7,0.19215686274509802,0.5490196078431373,0.9058823529411765,0.0669872981077807,0.7878787878787878,0.9058823529411766,12
93,#ACE5EE,0.6745098039215687,0.8980392156862745,0.9333333333333333,0.0048659656292148745,0.27731092436974786,0.9333333333333333,75
94,#FAF0BE,0.9803921568627451,0.9411764705882353,0.7450980392156863,0.8213938048432696,0.23999999999999996,0.9803921568627451,7
95,#0000FF,0.0,0.0,1.0,0.24999999999999978,1.0,1.0,43
96,#1F75FE,0.12156862745098039,0.4588235294117647,0.996078431372549,0.10068224497635359,0.8779527559055119,0.996078431372549,12
97,#0093AF,0.0,0.5764705882352941,0.6862745098039216,0.00759612349389599,1.0,0.6862745098039216,40
98,#0087BD,0.0,0.5294117647058824,0.7411764705882353,0.021847622018482282,1.0,0.7411764705882353,40
99,#0018A8,0.0,0.09411764705882353,0.6588235294117647,0.18533980447508108,1.0,0.6588235294117647,44
100,#333399,0.2,0.2,0.6,0.24999999999999978,0.6666666666666666,0.6,18
101,#0247FE,0.00784313725490196,0.2784313725490196,0.996078431372549,0.14033009983067446,0.9921259842519686,0.996078431372549,80
102,#A2A2D0,0.6352941176470588,0.6352941176470588,0.8156862745098039,0.24999999999999978,0.2211538461538462,0.8156862745098039,94
103,#00B9FB,0.0,0.7254901960784313,0.984313725490196,0.019369152030840553,1.0,0.984313725490196,46
104,#6699CC,0.4,0.6,0.8,0.0669872981077807,0.5,0.8,17
105,#0D98BA,0.050980392156862744,0.596078431372549,0.7294117647058823,0.010926199633097211,0.9301075268817204,0.7294117647058823,54
106,#5DADEC,0.36470588235294116,0.6784313725490196,0.9254901960784314,0.05060297685041654,0.6059322033898304,0.9254901960784314,12
107,#ACE5EE,0.6745098039215687,0.8980392156862745,0.9333333333333333,0.0048659656292148745,0.27731092436974786,0.9333333333333333,75
108,#553592,0.3333333333333333,0.20784313725490194,0.5725490196078431,0.42178276747988447,0.6369863013698629,0.5725490196078431,89
109,#126180,0.07058823529411765,0.3803921568627451,0.5019607843137255,0.021847622018482282,0.859375,0.5019607843137255,0
