,Hex,Red,Green,Blue,Label
0,#0048BA,0,72,186,48
1,#B0BF1A,176,191,26,134
2,#7CB9E8,124,185,232,56
3,#C9FFE5,201,255,229,20
4,#B284BE,178,132,190,0
5,#5D8AA8,93,138,168,139
6,#00308F,0,48,143,152
7,#72A0C1,114,160,193,21
8,#AF002A,175,0,42,67
9,#F2F0E6,242,240,230,86
10,#F0F8FF,240,248,255,20
11,#84DE02,132,222,2,38
12,#E32636,227,38,54,102
13,#C46210,196,98,16,15
14,#EFDECD,239,222,205,171
15,#E52B50,229,43,80,102
16,#9F2B68,159,43,104,41
17,#F19CBB,241,156,187,14
18,#AB274F,171,39,79,60
19,#D3212D,211,33,45,125
20,#3B7A57,59,122,87,85
21,#00C4B0,0,196,176,43
22,#FFBF00,255,191,0,4
23,#FF7E00,255,126,0,47
24,#FF033E,255,3,62,19
25,#9966CC,153,102,204,145
26,#A4C639,164,198,57,134
27,#F2F3F4,242,243,244,86
28,#CD9575,205,149,117,147
29,#665D1E,102,93,30,23
30,#915C83,145,92,131,80
31,#841B2D,132,27,45,163
32,#FAEBD7,250,235,215,53
33,#008000,0,128,0,166
34,#8DB600,141,182,0,38
35,#FBCEB1,251,206,177,3
36,#00FFFF,0,255,255,42
37,#7FFFD4,127,255,212,88
38,#D0FF14,208,255,20,34
39,#4B5320,75,83,32,107
40,#3B444B,59,68,75,6
41,#8F9779,143,151,121,94
42,#E9D66B,233,214,107,174
43,#B2BEB5,178,190,181,35
44,#87A96B,135,169,107,73
45,#FF9966,255,153,102,33
46,#A52A2A,165,42,42,91
47,#FDEE00,253,238,0,168
48,#6E7F80,110,127,128,29
49,#568203,86,130,3,164
50,#FF2052,255,32,82,102
51,#C39953,195,153,83,147
52,#007FFF,0,127,255,84
53,#F0FFFF,240,255,255,20
54,#F0FFFF,240,255,255,20
55,#DBE9F4,219,233,244,20
56,#89CFF0,137,207,240,97
57,#A1CAF1,161,202,241,100
58,#F4C2C2,244,194,194,141
59,#FEFEFA,254,254,250,86
60,#FF91AF,255,145,175,14
61,#21ABCD,33,171,205,106
62,#FAE7B5,250,231,181,3
63,#FFE135,255,225,53,105
64,#006A4E,0,106,78,177
65,#E0218A,224,33,138,176
66,#7C0A02,124,10,2,110
67,#1DACD6,29,172,214,106
68,#848482,132,132,130,94
69,#98777B,152,119,123,94
70,#BCD4E6,188,212,230,100
71,#9F8170,159,129,112,61
72,#FA6E79,250,110,121,92
73,#F5F5DC,245,245,220,53
74,#2E5894,46,88,148,162
75,#9C2542,156,37,66,91
76,#E88E5A,232,142,90,130
77,#FFE4C4,255,228,196,171
78,#3D2B1F,61,43,31,63
79,#967117,150,113,23,50
80,#CAE00D,202,224,13,34
81,#BFFF00,191,255,0,34
82,#FE6F5E,254,111,94,24
83,#BF4F51,191,79,81,146
84,#000000,0,0,0,36
85,#3D0C02,61,12,2,116
86,#54626F,84,98,111,124
87,#253529,37,53,41,135
88,#3B3C36,59,60,54,63
89,#BFAFB2,191,175,178,115
90,#FFEBCD,255,235,205,171
91,#A57164,165,113,100,61
92,#318CE7,49,140,231,75
93,#ACE5EE,172,229,238,100
94,#FAF0BE,250,240,190,171
95,#0000FF,0,0,255,113
96,#1F75FE,31,117,254,84
97,#0093AF,0,147,175,93
98,#0087BD,0,135,189,93
99,#0018A8,0,24,168,48
100,#333399,51,51,153,122
101,#0247FE,2,71,254,144
102,#A2A2D0,162,162,208,132
103,#00B9FB,0,185,251,8
104,#6699CC,102,153,204,21
105,#0D98BA,13,152,186,93
106,#5DADEC,93,173,236,52
107,#ACE5EE,172,229,238,100
108,#553592,85,53,146,138
109,#126180,18,97,128,118
110,#8A2BE2,138,43,226,9
111,#5072A7,80,114,167,89
112,#4F86F7,79,134,247,75
113,#1C1CF0,28,28,240,113
114,#DE5D83,222,93,131,54
115,#79443B,121,68,59,111
116,#0095B6,0,149,182,93
117,#E3DAC9,227,218,201,69
118,#DDE26A,221,226,106,174
